,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
187,408.91,439.33,623.47,217.4,553.17,689.0,689.0,515.68,689.0,809.02,801.0,801.0
188,439.33,623.47,217.4,553.17,689.0,689.0,515.68,689.0,809.02,801.0,801.0,801.0
189,623.47,217.4,553.17,689.0,689.0,515.68,689.0,809.02,801.0,801.0,801.0,1024.32
190,217.4,553.17,689.0,689.0,515.68,689.0,809.02,801.0,801.0,801.0,1024.32,806.45
191,553.17,689.0,689.0,515.68,689.0,809.02,801.0,801.0,801.0,1024.32,806.45,899.0
192,689.0,689.0,515.68,689.0,809.02,801.0,801.0,801.0,1024.32,806.45,899.0,661.8
193,689.0,515.68,689.0,809.02,801.0,801.0,801.0,1024.32,806.45,899.0,661.8,661.8
194,515.68,689.0,809.02,801.0,801.0,801.0,1024.32,806.45,899.0,661.8,661.8,598.22
195,689.0,809.02,801.0,801.0,801.0,1024.32,806.45,899.0,661.8,661.8,598.22,212.31
196,809.02,801.0,801.0,801.0,1024.32,806.45,899.0,661.8,661.8,598.22,212.31,218.2
197,801.0,801.0,801.0,1024.32,806.45,899.0,661.8,661.8,598.22,212.31,218.2,215.47
198,801.0,801.0,1024.32,806.45,899.0,661.8,661.8,598.22,212.31,218.2,215.47,214.12
199,801.0,1024.32,806.45,899.0,661.8,661.8,598.22,212.31,218.2,215.47,214.12,546.88
200,1024.32,806.45,899.0,661.8,661.8,598.22,212.31,218.2,215.47,214.12,546.88,650.52
201,806.45,899.0,661.8,661.8,598.22,212.31,218.2,215.47,214.12,546.88,650.52,529.43
202,899.0,661.8,661.8,598.22,212.31,218.2,215.47,214.12,546.88,650.52,529.43,520.16
203,661.8,661.8,598.22,212.31,218.2,215.47,214.12,546.88,650.52,529.43,520.16,533.37
204,661.8,598.22,212.31,218.2,215.47,214.12,546.88,650.52,529.43,520.16,533.37,630.0
205,598.22,212.31,218.2,215.47,214.12,546.88,650.52,529.43,520.16,533.37,630.0,220.23
206,212.31,218.2,215.47,214.12,546.88,650.52,529.43,520.16,533.37,630.0,220.23,215.83
207,218.2,215.47,214.12,546.88,650.52,529.43,520.16,533.37,630.0,220.23,215.83,447.62
